rest_name,rating,user_id,user_name
Brewklyn Microbrewery Bangalore,Rated 3.0,31504558,Harshitha Prasad
Brewklyn Microbrewery Bangalore,Rated 4.0,428014,Untamed Vagabond 🌍
Brewklyn Microbrewery Bangalore,Rated 4.0,42158328,Leo J Philip
Brewklyn Microbrewery Bangalore,Rated 4.0,34223157,Shubham Sharma
Brewklyn Microbrewery Bangalore,Rated 4.0,2371514,Rohith
Brewklyn Microbrewery Bangalore,Rated 4.0,15717464,Deepak Singla
Brewklyn Microbrewery Bangalore,Rated 4.0,38300443,Nivedita Ghosh
Brewklyn Microbrewery Bangalore,Rated 4.0,47331751,RupaB (AVirtualVegetarian)
Brewklyn Microbrewery Bangalore,Rated 4.0,35535536,Derryl Preetham
Brewklyn Microbrewery Bangalore,Rated 4.0,2371514,Rohith
Brewklyn Microbrewery Bangalore,Rated 4.0,15717464,Deepak Singla
Brewklyn Microbrewery Bangalore,Rated 4.0,38300443,Nivedita Ghosh
Brewklyn Microbrewery Bangalore,Rated 4.0,47331751,RupaB (AVirtualVegetarian)
Brewklyn Microbrewery Bangalore,Rated 4.0,35535536,Derryl Preetham
Brewklyn Microbrewery Bangalore,Rated 4.0,163421,Mohamed Owais Adam ( The Food Adventure Blog)
Brewklyn Microbrewery Bangalore,Rated 5.0,353218,Santosh Shet
Brewklyn Microbrewery Bangalore,Rated 4.0,15547237,Sarthak Tandon
Brewklyn Microbrewery Bangalore,Rated 4.5,247286,Shubham Uthappa
Brewklyn Microbrewery Bangalore,Rated 3.0,316564,Sanaaz R Doust
Brewklyn Microbrewery Bangalore,Rated 5.0,35834592,Archita Rai
Brewklyn Microbrewery Bangalore,Rated 4.0,2635494,Phenomenal World
Brewklyn Microbrewery Bangalore,Rated 4.0,50108164,Onelovefoodlove
Brewklyn Microbrewery Bangalore,Rated 4.0,51293,Amina Khan
Brewklyn Microbrewery Bangalore,Rated 5.0,4722771,Foodstopbengaluru
Brewklyn Microbrewery Bangalore,Rated 5.0,35834592,Archita Rai
Brewklyn Microbrewery Bangalore,Rated 4.0,2635494,Phenomenal World
Brewklyn Microbrewery Bangalore,Rated 4.0,50108164,Onelovefoodlove
Brewklyn Microbrewery Bangalore,Rated 4.0,51293,Amina Khan
Brewklyn Microbrewery Bangalore,Rated 5.0,4722771,Foodstopbengaluru
Brewklyn Microbrewery Bangalore,Rated 4.0,396789,AjitRai
Brewklyn Microbrewery Bangalore,Rated 3.0,15603381,Ajinkya Pawade
Brewklyn Microbrewery Bangalore,Rated 5.0,37860757,Shikha
Brewklyn Microbrewery Bangalore,Rated 3.0,37667765,Chirag Sehgal
Brewklyn Microbrewery Bangalore,Rated 4.0,65319368,Akash Kini
Brewklyn Microbrewery Bangalore,Rated 3.0,2868802,Harshal Sarmalkar
Brewklyn Microbrewery Bangalore,Rated 5.0,35982112,Prashant Singh
Brewklyn Microbrewery Bangalore,Rated 4.0,35079006,Roni Chatterjee
Brewklyn Microbrewery Bangalore,Rated 3.0,34305158,Shivani Balsa
Brewklyn Microbrewery Bangalore,Rated 4.0,41259725,Arun Nath
Brewklyn Microbrewery Bangalore,Rated 3.0,16193885,Suzratzz
Brewklyn Microbrewery Bangalore,Rated 4.0,1816853,Anwesha Guha
Brewklyn Microbrewery Bangalore,Rated 4.0,38553098,Vandana Ramesh
Brewklyn Microbrewery Bangalore,Rated 4.0,38401314,Harshit Wadhwa
Brewklyn Microbrewery Bangalore,Rated 3.0,37203952,Robin Wadhwa
Brewklyn Microbrewery Bangalore,Rated 4.0,4500931,Deekshitha Siva
Brewklyn Microbrewery Bangalore,Rated 4.0,1434500,Shashank Jaiswal
Brewklyn Microbrewery Bangalore,Rated 4.0,1984824,MKT
Brewklyn Microbrewery Bangalore,Rated 3.0,549680,Shreyash Jain
Brewklyn Microbrewery Bangalore,Rated 4.0,634837,Shibu Premkumar 
Brewklyn Microbrewery Bangalore,Rated 4.0,31366491,Krutika Sampat
Brewklyn Microbrewery Bangalore,Rated 3.0,44702119,Chander Manakpuri
Brewklyn Microbrewery Bangalore,Rated 5.0,35232899,FoodPorn
Brewklyn Microbrewery Bangalore,Rated 3.0,501410,Saunak Mukherjee
Brewklyn Microbrewery Bangalore,Rated 4.0,31482031,Thisha
Brewklyn Microbrewery Bangalore,Rated 2.0,2155662,Shashank PC
Brewklyn Microbrewery Bangalore,Rated 4.0,16212551,Nishanth Prabhu
Brewklyn Microbrewery Bangalore,Rated 4.0,135654,Arijit Chakraborty
Brewklyn Microbrewery Bangalore,Rated 4.5,1088701,Varun Jain
Brewklyn Microbrewery Bangalore,Rated 1.0,1906736,Aisha Mapara
Brewklyn Microbrewery Bangalore,Rated 5.0,8725121,Abeer Mishra
Brewklyn Microbrewery Bangalore,Rated 5.0,634050,Vijay Verghis @vj1901
Brewklyn Microbrewery Bangalore,Rated 3.0,29231377,_poodforn
Brewklyn Microbrewery Bangalore,Rated 5.0,32427542,Saheli Ganguly
Brewklyn Microbrewery Bangalore,Rated 4.0,1076611,Aishwarya Raghavan
Brewklyn Microbrewery Bangalore,Rated 4.0,169714,Anuj Mokal
Brewklyn Microbrewery Bangalore,Rated 4.0,32434066,Vaishu
Brewklyn Microbrewery Bangalore,Rated 4.0,33555004,Ankush Agarwal
Brewklyn Microbrewery Bangalore,Rated 5.0,44324688,Raj Sharma
Brewklyn Microbrewery Bangalore,Rated 4.0,33998240,Sonal Lobo
Brewklyn Microbrewery Bangalore,Rated 4.0,30754022,Vaibhavi Tiwari
Brewklyn Microbrewery Bangalore,Rated 2.0,30356813,Anamika Singh
Brewklyn Microbrewery Bangalore,Rated 4.0,1352528,Souvik Bhattacharya (Good Food Bro)
Brewklyn Microbrewery Bangalore,Rated 4.0,2332010,Lohit Naik
Brewklyn Microbrewery Bangalore,Rated 5.0,31542692,Sachin Dhir
Brewklyn Microbrewery Bangalore,Rated 4.0,30754022,Vaibhavi Tiwari
Brewklyn Microbrewery Bangalore,Rated 2.0,30356813,Anamika Singh
Brewklyn Microbrewery Bangalore,Rated 4.0,1352528,Souvik Bhattacharya (Good Food Bro)
Brewklyn Microbrewery Bangalore,Rated 4.0,2332010,Lohit Naik
Brewklyn Microbrewery Bangalore,Rated 5.0,31542692,Sachin Dhir
Output Bengaluru Bangalore,Rated 4.0,1391277,Vineet
Output Bengaluru Bangalore,Rated 4.0,30137397,Anjum Fathima
Output Bengaluru Bangalore,Rated 5.0,14380361,Tales Of My Fancy
Output Bengaluru Bangalore,Rated 3.0,35027460,SHishiR SaM
Output Bengaluru Bangalore,Rated 5.0,34708618,Saurav Foodie Maurya
Output Bengaluru Bangalore,Rated 5.0,33786392,Ankita Saha
Output Bengaluru Bangalore,Rated 5.0,1473835,Arpita Chakraborty
Output Bengaluru Bangalore,Rated 4.0,31288688,Isaac Moses
Output Bengaluru Bangalore,Rated 4.0,126669,Drumeel Deshmukh
Output Bengaluru Bangalore,Rated 4.0,31013243,Varun Suthar
Output Bengaluru Bangalore,Rated 5.0,3082796,Dhruv Daga
Output Bengaluru Bangalore,Rated 5.0,29621502,Sankha Sil
Output Bengaluru Bangalore,Rated 5.0,48650808,Tapas Pramanik
Output Bengaluru Bangalore,Rated 4.0,32427542,Saheli Ganguly
Output Bengaluru Bangalore,Rated 4.0,31013243,Varun Suthar
Output Bengaluru Bangalore,Rated 5.0,3082796,Dhruv Daga
Output Bengaluru Bangalore,Rated 5.0,29621502,Sankha Sil
Output Bengaluru Bangalore,Rated 5.0,48650808,Tapas Pramanik
Output Bengaluru Bangalore,Rated 4.0,32427542,Saheli Ganguly
Output Bengaluru Bangalore,Rated 2.0,1775725,Anush Karavadi
Output Bengaluru Bangalore,Rated 3.0,2533910,Gautam
Output Bengaluru Bangalore,Rated 5.0,81697,Praman Arora
Output Bengaluru Bangalore,Rated 4.0,4641101,Kumar Harsh
Output Bengaluru Bangalore,Rated 4.0,1831164,Sanghamitra Gupta
Output Bengaluru Bangalore,Rated 5.0,761552,Rahul (instagram : Rahul_villian)
Output Bengaluru Bangalore,Rated 4.0,35834592,Archita Rai
Output Bengaluru Bangalore,Rated 5.0,42917704,Sameer Raj
Output Bengaluru Bangalore,Rated 5.0,30589446,Monika Sharma
Output Bengaluru Bangalore,Rated 4.5,2820864,MOHIT PRATAP
Output Bengaluru Bangalore,Rated 5.0,761552,Rahul (instagram : Rahul_villian)
Output Bengaluru Bangalore,Rated 4.0,35834592,Archita Rai
Output Bengaluru Bangalore,Rated 5.0,42917704,Sameer Raj
Output Bengaluru Bangalore,Rated 5.0,30589446,Monika Sharma
Output Bengaluru Bangalore,Rated 4.5,2820864,MOHIT PRATAP
Output Bengaluru Bangalore,Rated 4.5,3140811,Bhukka Pyasa Beardo
Output Bengaluru Bangalore,Rated 5.0,34739367,Archie Gupta
Output Bengaluru Bangalore,Rated 5.0,8992671,Sagar Sakre
Output Bengaluru Bangalore,Rated 5.0,20478610,Beardofoodie
Output Bengaluru Bangalore,Rated 5.0,240872,Diptarka Gupta
Output Bengaluru Bangalore,Rated 4.5,3140811,Bhukka Pyasa Beardo
Output Bengaluru Bangalore,Rated 5.0,34739367,Archie Gupta
Output Bengaluru Bangalore,Rated 5.0,8992671,Sagar Sakre
Output Bengaluru Bangalore,Rated 5.0,20478610,Beardofoodie
Output Bengaluru Bangalore,Rated 5.0,240872,Diptarka Gupta
Output Bengaluru Bangalore,Rated 5.0,59657913,Rahul Sali
Output Bengaluru Bangalore,Rated 4.0,9596591,Varun Khaitan
Output Bengaluru Bangalore,Rated 4.0,32630133,Smitha Nandish (travellerhoots.com)
Output Bengaluru Bangalore,Rated 4.0,2593716,Vineel Chandra
Output Bengaluru Bangalore,Rated 5.0,431858,Amruth Talanki
Output Bengaluru Bangalore,Rated 5.0,59657913,Rahul Sali
Output Bengaluru Bangalore,Rated 4.0,9596591,Varun Khaitan
Output Bengaluru Bangalore,Rated 4.0,32630133,Smitha Nandish (travellerhoots.com)
Output Bengaluru Bangalore,Rated 4.0,2593716,Vineel Chandra
Output Bengaluru Bangalore,Rated 5.0,431858,Amruth Talanki
Output Bengaluru Bangalore,Rated 4.0,113401,Vitasta Abrol
Output Bengaluru Bangalore,Rated 4.0,34772213,Ankita Basu
Output Bengaluru Bangalore,Rated 4.0,1607768,John J Eapen | Tales Of Froth
Output Bengaluru Bangalore,Rated 5.0,31380752,Lokesh Kumar
Output Bengaluru Bangalore,Rated 5.0,33018396,Maneet Tuteja
Output Bengaluru Bangalore,Rated 5.0,37135913,Subhash Bangera
Output Bengaluru Bangalore,Rated 4.0,471432,Sanjay Lewis
Output Bengaluru Bangalore,Rated 3.0,15734774,Anuradha Gupta
Output Bengaluru Bangalore,Rated 4.0,525592,Akhil Khatri
Output Bengaluru Bangalore,Rated 4.0,42606695,Saumya Jha
Output Bengaluru Bangalore,Rated 5.0,40772974,GameOfGobblers
Output Bengaluru Bangalore,Rated 3.5,31368547,SireeSha
Output Bengaluru Bangalore,Rated 5.0,36400299,Ex Foode.
Output Bengaluru Bangalore,Rated 1.0,3223085,Rupinder Singh
Output Bengaluru Bangalore,Rated 5.0,1501987,Foddie Boyz
Output Bengaluru Bangalore,Rated 3.0,869966,Avi Avinash
Punjab Bistro Bangalore,Rated 4.0,37076955,Kristen
Punjab Bistro Bangalore,Rated 5.0,1050465,Areebuddin Sanadi
Punjab Bistro Bangalore,Rated 4.0,30678560,Aman Singh
Punjab Bistro Bangalore,Rated 5.0,1541623,Amrit A Pai
Punjab Bistro Bangalore,Rated 5.0,44657880,Chandan Kumar
Punjab Bistro Bangalore,Rated 5.0,36136389,Allaboutblogging
Punjab Bistro Bangalore,Rated 5.0,6288391,Chirag Sharma
Punjab Bistro Bangalore,Rated 5.0,56124746,Sowmya
Punjab Bistro Bangalore,Rated 3.0,34958997,Anjali Ajit
Punjab Bistro Bangalore,Rated 4.0,3140811,Bhukka Pyasa Beardo
Punjab Bistro Bangalore,Rated 5.0,29567749,Vin
Punjab Bistro Bangalore,Rated 4.0,1792343,Sandeep Kumar
Punjab Bistro Bangalore,Rated 3.0,870528,Siddhartha Chakraborty
Punjab Bistro Bangalore,Rated 4.0,31671435,Ravindar Natarajan
Punjab Bistro Bangalore,Rated 5.0,20478610,Beardofoodie
Punjab Bistro Bangalore,Rated 4.0,648128,The Coffee Addict
Punjab Bistro Bangalore,Rated 5.0,35241545,Drinks &amp; Me
Punjab Bistro Bangalore,Rated 3.0,48043171,Pooja
Punjab Bistro Bangalore,Rated 3.0,49032619,Saileshshetty
Punjab Bistro Bangalore,Rated 3.0,1222244,Nupur Jhawar
Punjab Bistro Bangalore,Rated 5.0,16176756,Harshit Rai
Punjab Bistro Bangalore,Rated 4.0,60129688,Preksha Goyal
Punjab Bistro Bangalore,Rated 5.0,8352571,Ravish Verma
Punjab Bistro Bangalore,Rated 4.0,3168731,Soumojit Ghosh
Punjab Bistro Bangalore,Rated 4.0,37782,Niraj Shah
Punjab Bistro Bangalore,Rated 5.0,31937184,Abe
Punjab Bistro Bangalore,Rated 4.0,2174222,Nataraj Srikantaiah
Punjab Bistro Bangalore,Rated 5.0,42157258,Swati Mishra
Punjab Bistro Bangalore,Rated 5.0,407847,Nitin Hajela (TheFoodieTales.com)
Punjab Bistro Bangalore,Rated 4.0,672158,Nandini Swaminathan
Punjab Bistro Bangalore,Rated 3.0,13568121,Ritu Sisodia
Punjab Bistro Bangalore,Rated 1.0,16025313,Neha Mandhyani
Punjab Bistro Bangalore,Rated 5.0,38482625,Madhumita Das
Punjab Bistro Bangalore,Rated 3.0,27698428,Abhinav Prakash
Punjab Bistro Bangalore,Rated 4.0,672158,Nandini Swaminathan
Punjab Bistro Bangalore,Rated 3.0,13568121,Ritu Sisodia
Punjab Bistro Bangalore,Rated 1.0,16025313,Neha Mandhyani
Punjab Bistro Bangalore,Rated 5.0,38482625,Madhumita Das
Punjab Bistro Bangalore,Rated 3.0,27698428,Abhinav Prakash
The Old Fashioned Bar Bangalore,Rated 5.0,719993,Bengaluru Food Walks
The Old Fashioned Bar Bangalore,Rated 5.0,50108164,Onelovefoodlove
The Old Fashioned Bar Bangalore,Rated 5.0,2820864,MOHIT PRATAP
The Old Fashioned Bar Bangalore,Rated 5.0,4722771,Foodstopbengaluru
The Old Fashioned Bar Bangalore,Rated 4.0,126662,Diwakar Gandhi
The Old Fashioned Bar Bangalore,Rated 5.0,42297614,Thetechnifoodie
The Old Fashioned Bar Bangalore,Rated 5.0,280479,Stomach Ek (Ravish Malhotra)
The Old Fashioned Bar Bangalore,Rated 3.0,16570345,Kalyani Bahaley
The Old Fashioned Bar Bangalore,Rated 5.0,98651,Narayan Naik
The Old Fashioned Bar Bangalore,Rated 4.0,16071275,Amrutha
The Old Fashioned Bar Bangalore,Rated 3.0,558159,Foodzy Lover
The Old Fashioned Bar Bangalore,Rated 4.0,363327,Vinay Nagaraju (WOMP: Whats On My Plate)
The Old Fashioned Bar Bangalore,Rated 4.0,210025,Rohit Dassani (www.RohitDassani.com)
The Old Fashioned Bar Bangalore,Rated 5.0,36790951,Evangeline Jessica Johnson
The Old Fashioned Bar Bangalore,Rated 4.0,16071275,Amrutha
The Old Fashioned Bar Bangalore,Rated 3.0,558159,Foodzy Lover
The Old Fashioned Bar Bangalore,Rated 4.0,363327,Vinay Nagaraju (WOMP: Whats On My Plate)
The Old Fashioned Bar Bangalore,Rated 4.0,210025,Rohit Dassani (www.RohitDassani.com)
The Old Fashioned Bar Bangalore,Rated 5.0,36790951,Evangeline Jessica Johnson
The Old Fashioned Bar Bangalore,Rated 2.0,27184378,Ipsa Saini
The Old Fashioned Bar Bangalore,Rated 4.0,35110826,Neha Nagpal
The Old Fashioned Bar Bangalore,Rated 5.0,57389892,Foodies
The Old Fashioned Bar Bangalore,Rated 2.0,36694044,Simran Mirpuri
The Old Fashioned Bar Bangalore,Rated 5.0,1503461,KrantiKrishna (krantiawelltravelledgourmand)
The Old Fashioned Bar Bangalore,Rated 5.0,42759735,Kavya V
The Old Fashioned Bar Bangalore,Rated 5.0,34254635,"Foodie @ ,....."
The Old Fashioned Bar Bangalore,Rated 5.0,2593716,Vineel Chandra
The Old Fashioned Bar Bangalore,Rated 5.0,40437077,Alok Ranjan
The Old Fashioned Bar Bangalore,Rated 5.0,20478610,Beardofoodie
The Old Fashioned Bar Bangalore,Rated 5.0,42759735,Kavya V
The Old Fashioned Bar Bangalore,Rated 5.0,34254635,"Foodie @ ,....."
The Old Fashioned Bar Bangalore,Rated 5.0,2593716,Vineel Chandra
The Old Fashioned Bar Bangalore,Rated 5.0,40437077,Alok Ranjan
The Old Fashioned Bar Bangalore,Rated 5.0,20478610,Beardofoodie
The Old Fashioned Bar Bangalore,Rated 5.0,1629777,Akhil Kohli (gourmet.theories)
The Old Fashioned Bar Bangalore,Rated 4.0,1225846,Deepika Das
The Old Fashioned Bar Bangalore,Rated 5.0,32259939,Shrey Pavagadhi
The Old Fashioned Bar Bangalore,Rated 4.0,432625,Samyak (hogallucan.com)
The Old Fashioned Bar Bangalore,Rated 4.0,862877,Zomatter
The Old Fashioned Bar Bangalore,Rated 5.0,1629777,Akhil Kohli (gourmet.theories)
The Old Fashioned Bar Bangalore,Rated 4.0,1225846,Deepika Das
The Old Fashioned Bar Bangalore,Rated 5.0,32259939,Shrey Pavagadhi
The Old Fashioned Bar Bangalore,Rated 4.0,432625,Samyak (hogallucan.com)
The Old Fashioned Bar Bangalore,Rated 4.0,862877,Zomatter
The Old Fashioned Bar Bangalore,Rated 5.0,40772974,GameOfGobblers
The Old Fashioned Bar Bangalore,Rated 5.0,3140811,Bhukka Pyasa Beardo
The Old Fashioned Bar Bangalore,Rated 4.0,35756852,Rohit Rathore
The Old Fashioned Bar Bangalore,Rated 5.0,43726214,Vedshree (@littlefoodiegirl)
The Old Fashioned Bar Bangalore,Rated 5.0,32053110,Vijay Jagannath
The Old Fashioned Bar Bangalore,Rated 5.0,40772974,GameOfGobblers
The Old Fashioned Bar Bangalore,Rated 5.0,3140811,Bhukka Pyasa Beardo
The Old Fashioned Bar Bangalore,Rated 4.0,35756852,Rohit Rathore
The Old Fashioned Bar Bangalore,Rated 5.0,43726214,Vedshree (@littlefoodiegirl)
The Old Fashioned Bar Bangalore,Rated 5.0,32053110,Vijay Jagannath
The Old Fashioned Bar Bangalore,Rated 4.0,1628467,Neha Putta
The Old Fashioned Bar Bangalore,Rated 4.0,1571824,Raj Kiran
The Old Fashioned Bar Bangalore,Rated 5.0,45613960,Hema
The Old Fashioned Bar Bangalore,Rated 4.0,859357,Himajanr
The Old Fashioned Bar Bangalore,Rated 4.5,139524,Vishal Bharadwaj [The Gourmet Tales]
The Old Fashioned Bar Bangalore,Rated 5.0,38855155,TheBigFoddie
The Old Fashioned Bar Bangalore,Rated 5.0,84987,Harish Sridharan
The Old Fashioned Bar Bangalore,Rated 5.0,453469,Deepti Gupta
The Old Fashioned Bar Bangalore,Rated 5.0,27822763,Pradeep S
The Old Fashioned Bar Bangalore,Rated 5.0,11739011,Ananth Krishna
The Old Fashioned Bar Bangalore,Rated 3.0,34596016,Suraj Chhetri
The Old Fashioned Bar Bangalore,Rated 5.0,4641101,Kumar Harsh
The Old Fashioned Bar Bangalore,Rated 2.0,20246278,Yash Vijay
1131 Bar + Kitchen Bangalore,Rated 3.0,33128381,Juhi Agarwal
1131 Bar + Kitchen Bangalore,Rated 4.0,33813031,Mohammed Arif Khan
1131 Bar + Kitchen Bangalore,Rated 4.0,1558536,George Anthraper
1131 Bar + Kitchen Bangalore,Rated 3.0,1277307,Ujawal Singh
1131 Bar + Kitchen Bangalore,Rated 3.0,278308,Rakshith Kn
1131 Bar + Kitchen Bangalore,Rated 5.0,18535,Anshal Anand
1131 Bar + Kitchen Bangalore,Rated 4.0,27889732,Poulami Seal
1131 Bar + Kitchen Bangalore,Rated 4.0,42471342,Bhargavi Kumar
1131 Bar + Kitchen Bangalore,Rated 3.0,27747907,Nivetha Foodie
1131 Bar + Kitchen Bangalore,Rated 5.0,1967392,Kanika Gaur
1131 Bar + Kitchen Bangalore,Rated 5.0,44657880,Chandan Kumar
1131 Bar + Kitchen Bangalore,Rated 4.0,35928014,Jerin
1131 Bar + Kitchen Bangalore,Rated 5.0,1491740,Harish Kulur
1131 Bar + Kitchen Bangalore,Rated 5.0,1316636,Tejal Ramesh
1131 Bar + Kitchen Bangalore,Rated 5.0,1967392,Kanika Gaur
1131 Bar + Kitchen Bangalore,Rated 5.0,44657880,Chandan Kumar
1131 Bar + Kitchen Bangalore,Rated 4.0,35928014,Jerin
1131 Bar + Kitchen Bangalore,Rated 5.0,1491740,Harish Kulur
1131 Bar + Kitchen Bangalore,Rated 5.0,1316636,Tejal Ramesh
1131 Bar + Kitchen Bangalore,Rated 4.0,34190809,Madhurima Chakraborty
1131 Bar + Kitchen Bangalore,Rated 4.0,190959,Ashutosh Varma
1131 Bar + Kitchen Bangalore,Rated 4.0,2153416,Sourajyoti Datta
1131 Bar + Kitchen Bangalore,Rated 3.0,239183,Madhumita Basu
1131 Bar + Kitchen Bangalore,Rated 4.0,1240356,Arshii Anjum
1131 Bar + Kitchen Bangalore,Rated 4.0,34190809,Madhurima Chakraborty
1131 Bar + Kitchen Bangalore,Rated 4.0,190959,Ashutosh Varma
1131 Bar + Kitchen Bangalore,Rated 4.0,2153416,Sourajyoti Datta
1131 Bar + Kitchen Bangalore,Rated 3.0,239183,Madhumita Basu
1131 Bar + Kitchen Bangalore,Rated 4.0,1240356,Arshii Anjum
1131 Bar + Kitchen Bangalore,Rated 5.0,222934,Saju Koshy Varghese
1131 Bar + Kitchen Bangalore,Rated 5.0,8430331,Swati Dalakoti
1131 Bar + Kitchen Bangalore,Rated 4.0,31450149,Leander Reis
1131 Bar + Kitchen Bangalore,Rated 3.0,1250419,Poulomi Dasgupta Duttagupta
1131 Bar + Kitchen Bangalore,Rated 5.0,1056295,Kiran Palakodeti
1131 Bar + Kitchen Bangalore,Rated 3.0,32165031,Garima Singh
1131 Bar + Kitchen Bangalore,Rated 4.0,407700,Krati Golash
1131 Bar + Kitchen Bangalore,Rated 4.0,38200606,Sreeanka Choudhury
1131 Bar + Kitchen Bangalore,Rated 5.0,597538,Sarthak Gakhar
1131 Bar + Kitchen Bangalore,Rated 2.0,30945994,Rohan Emmanuel
1131 Bar + Kitchen Bangalore,Rated 4.0,15647395,Tulika
1131 Bar + Kitchen Bangalore,Rated 4.0,35233361,Akshata Sensharma
1131 Bar + Kitchen Bangalore,Rated 4.0,30356813,Anamika Singh
1131 Bar + Kitchen Bangalore,Rated 5.0,27812815,Deeksha
1131 Bar + Kitchen Bangalore,Rated 5.0,3037193,Anshuman
1131 Bar + Kitchen Bangalore,Rated 5.0,623902,Varun Tyagi
1131 Bar + Kitchen Bangalore,Rated 4.0,2049696,Megha
1131 Bar + Kitchen Bangalore,Rated 2.0,7090751,Bhavya V Sridhar
1131 Bar + Kitchen Bangalore,Rated 4.0,8725121,Abeer Mishra
1131 Bar + Kitchen Bangalore,Rated 4.0,29258113,Sussan Syed
1131 Bar + Kitchen Bangalore,Rated 5.0,623902,Varun Tyagi
1131 Bar + Kitchen Bangalore,Rated 4.0,2049696,Megha
1131 Bar + Kitchen Bangalore,Rated 2.0,7090751,Bhavya V Sridhar
1131 Bar + Kitchen Bangalore,Rated 4.0,8725121,Abeer Mishra
1131 Bar + Kitchen Bangalore,Rated 4.0,29258113,Sussan Syed
1131 Bar + Kitchen Bangalore,Rated 5.0,3176232,Arjun Krishnakumar K
1131 Bar + Kitchen Bangalore,Rated 4.0,30530106,Anjali Nair
1131 Bar + Kitchen Bangalore,Rated 5.0,10842891,Sahana Shetty
1131 Bar + Kitchen Bangalore,Rated 3.0,1972562,Kushal Sanghvi
1131 Bar + Kitchen Bangalore,Rated 3.0,494489,Ajith Prasad Edassery
1131 Bar + Kitchen Bangalore,Rated 5.0,16431961,Divya Saurav
1131 Bar + Kitchen Bangalore,Rated 4.0,2020102,Sai Karthik
1131 Bar + Kitchen Bangalore,Rated 5.0,9696571,Jasleen Kaur
1131 Bar + Kitchen Bangalore,Rated 4.0,168309,Asutosh Dash
1131 Bar + Kitchen Bangalore,Rated 3.0,394656,Malavika Menon
1131 Bar + Kitchen Bangalore,Rated 5.0,16431961,Divya Saurav
1131 Bar + Kitchen Bangalore,Rated 4.0,2020102,Sai Karthik
1131 Bar + Kitchen Bangalore,Rated 5.0,9696571,Jasleen Kaur
1131 Bar + Kitchen Bangalore,Rated 4.0,168309,Asutosh Dash
1131 Bar + Kitchen Bangalore,Rated 3.0,394656,Malavika Menon
1131 Bar + Kitchen Bangalore,Rated 4.0,430599,Deepak Rao
1131 Bar + Kitchen Bangalore,Rated 3.0,33737665,Avantika Samson
1131 Bar + Kitchen Bangalore,Rated 3.0,10262581,Sandiip Guptaa
1131 Bar + Kitchen Bangalore,Rated 5.0,44488471,Amit Kumar
1131 Bar + Kitchen Bangalore,Rated 3.0,35569757,Hitesh Menghnani
1131 Bar + Kitchen Bangalore,Rated 4.0,30925420,Santosh
